epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7621,1.57655,2.42048,1.39055,0.43749,0.86486,0.57187,0.25541,1.61022,1.80465,1.35367,0.000551962,0.000551962,0.000551962
2,142.281,1.59377,2.13329,1.45904,0.47568,0.87359,0.55771,0.31223,1.46272,1.89844,1.25511,0.0010857,0.0010857,0.0010857
3,211.118,1.53435,1.97519,1.39109,0.5635,0.80673,0.59721,0.305,1.51769,1.72016,1.25915,0.00159743,0.00159743,0.00159743
4,279.999,1.51113,1.83379,1.37857,0.52526,0.88781,0.63686,0.37832,1.35422,1.42693,1.21115,0.00156798,0.00156798,0.00156798
5,349.383,1.50573,1.66196,1.388,0.47775,0.90976,0.61773,0.33805,1.41895,1.38713,1.31328,0.00153497,0.00153497,0.00153497
6,418.674,1.47966,1.56261,1.34845,0.46655,1,0.61805,0.3435,1.48305,1.29502,1.21159,0.00150197,0.00150197,0.00150197
7,488.098,1.44532,1.47768,1.34697,0.5587,0.83564,0.76901,0.42936,1.46209,1.24745,1.24944,0.00146896,0.00146896,0.00146896
8,557.258,1.43289,1.40675,1.34119,0.56882,0.87021,0.78886,0.44847,1.39543,1.39141,1.24484,0.00143595,0.00143595,0.00143595
9,627.222,1.43408,1.41309,1.33513,0.62895,0.82181,0.80493,0.48569,1.35582,1.18369,1.2157,0.00140295,0.00140295,0.00140295
10,696.698,1.32387,1.23915,1.27697,0.78522,0.68699,0.80767,0.44197,1.51351,1.19607,1.21045,0.00136994,0.00136994,0.00136994
11,766.307,1.35517,1.25971,1.28803,0.61649,0.88592,0.84921,0.49584,1.42081,1.11472,1.24011,0.00133693,0.00133693,0.00133693
12,836.2,1.31419,1.21142,1.27112,0.77611,0.84915,0.89576,0.55563,1.32369,1.00401,1.19156,0.00130393,0.00130393,0.00130393
13,906.235,1.27925,1.14356,1.26206,0.67056,0.82214,0.81779,0.49171,1.34309,1.05999,1.24792,0.00127092,0.00127092,0.00127092
14,976.178,1.26544,1.10656,1.25884,0.86782,0.81992,0.93324,0.58368,1.32919,0.91457,1.19088,0.00123791,0.00123791,0.00123791
15,1045.96,1.24072,1.0223,1.24511,0.84491,0.82719,0.92524,0.55761,1.3057,1.10505,1.23899,0.00120491,0.00120491,0.00120491
16,1115.84,1.23673,1.04409,1.24275,0.87523,0.92646,0.95307,0.57519,1.3228,0.83158,1.23564,0.0011719,0.0011719,0.0011719
17,1186.06,1.24772,1.05632,1.24723,0.83406,0.87778,0.94417,0.59539,1.27069,0.88867,1.2228,0.00113889,0.00113889,0.00113889
18,1256.5,1.21469,0.97366,1.24232,0.85753,0.87275,0.95214,0.60352,1.24639,0.83764,1.20284,0.00110589,0.00110589,0.00110589
19,1326.66,1.18284,0.93121,1.18666,0.89089,0.8996,0.9618,0.60551,1.26153,0.83289,1.27846,0.00107288,0.00107288,0.00107288
20,1396.82,1.14004,0.93363,1.1891,0.85944,0.94421,0.97657,0.64519,1.23965,0.72886,1.15421,0.00103987,0.00103987,0.00103987
21,1467.08,1.14725,0.92942,1.19548,0.94802,0.95722,0.98072,0.65637,1.20376,0.68977,1.16834,0.00100687,0.00100687,0.00100687
22,1537.01,1.15471,0.89703,1.17925,0.87614,0.88781,0.95522,0.62988,1.2203,0.7528,1.18908,0.000973861,0.000973861,0.000973861
23,1607.26,1.13714,0.87014,1.19306,0.91302,0.96018,0.97608,0.64177,1.2532,0.70668,1.25462,0.000940855,0.000940855,0.000940855
24,1677.36,1.07602,0.87423,1.1756,0.92302,0.93608,0.96925,0.64272,1.26212,0.71082,1.2182,0.000907848,0.000907848,0.000907848
